tag,class,depth,text_length,has_img,label
html,,1,2854,True,unlabeled
head,,2,83,False,unlabeled
title,,3,83,False,unlabeled
body,,2,2771,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2530,True,unlabeled
div,container,4,2530,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2511,False,unlabeled
div,header-content,6,53,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,32,False,unlabeled
h1,title-detail,6,56,False,title
p,description,6,168,False,unlabeled
article,fck_detail,6,2178,False,unlabeled
p,Normal,7,214,False,content
p,Normal,7,169,False,content
p,Normal,7,186,False,content
p,Normal,7,199,False,content
p,Normal,7,74,False,content
p,Normal,7,283,False,content
p,Normal,7,254,False,content
p,Normal,7,291,False,content
p,Normal,7,178,False,content
p,Normal,7,319,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,2885,True,unlabeled
head,,2,83,False,unlabeled
title,,3,83,False,unlabeled
body,,2,2802,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2561,True,unlabeled
div,container,4,2561,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2542,True,unlabeled
div,header-content,6,53,False,unlabeled
ul,breadcrumb,7,22,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,12,False,unlabeled
a,,9,12,False,unlabeled
span,date,7,31,False,unlabeled
h1,title-detail,6,56,False,title
p,description,6,154,False,unlabeled
article,fck_detail,6,2223,True,unlabeled
p,Normal,7,134,False,content
p,Normal,7,265,False,content
p,Normal,7,314,False,content
p,Normal,7,150,False,content
p,Normal,7,130,False,content
figure,tplCaption,7,83,True,unlabeled
figcaption,,8,83,False,unlabeled
p,Image,9,83,False,unlabeled
p,Normal,7,357,False,content
p,Normal,7,165,False,content
p,Normal,7,275,False,content
p,Normal,7,344,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,2853,True,unlabeled
head,,2,54,False,unlabeled
title,,3,54,False,unlabeled
body,,2,2799,True,unlabeled
header,section,3,74,True,unlabeled
div,container,4,74,True,unlabeled
span,time-now,5,17,False,unlabeled
a,,6,17,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2557,True,unlabeled
div,container,4,2557,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2538,True,unlabeled
div,header-content,6,52,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,31,False,unlabeled
h1,title-detail,6,29,False,title
p,description,6,120,False,unlabeled
article,fck_detail,6,2281,True,unlabeled
p,Normal,7,250,False,content
a,,8,11,False,unlabeled
p,Normal,7,174,False,content
p,Normal,7,165,False,content
p,Normal,7,317,False,content
figure,tplCaption,7,89,True,unlabeled
figcaption,,8,89,False,unlabeled
p,Image,9,89,False,unlabeled
p,Normal,7,274,False,content
p,Normal,7,145,False,content
p,Normal,7,149,False,content
p,Normal,7,166,False,content
p,Normal,7,288,False,content
a,,8,12,False,unlabeled
p,Normal,7,257,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,2746,True,unlabeled
head,,2,57,False,unlabeled
title,,3,57,False,unlabeled
body,,2,2689,True,unlabeled
header,section,3,74,True,unlabeled
div,container,4,74,True,unlabeled
span,time-now,5,17,False,unlabeled
a,,6,17,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2447,True,unlabeled
div,container,4,2447,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2428,True,unlabeled
div,header-content,6,54,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,33,False,unlabeled
h1,title-detail,6,31,False,title
p,description,6,125,False,unlabeled
article,fck_detail,6,2162,True,unlabeled
p,Normal,7,182,False,content
a,,8,11,False,unlabeled
p,Normal,7,279,False,content
p,Normal,7,161,False,content
figure,tplCaption,7,97,True,unlabeled
figcaption,,8,97,False,unlabeled
p,Image,9,97,False,unlabeled
p,Normal,7,303,False,content
p,Normal,7,238,False,content
p,Normal,7,174,False,content
p,Normal,7,222,False,content
p,Normal,7,131,False,content
p,Normal,7,368,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,3328,True,unlabeled
head,,2,64,False,unlabeled
title,,3,64,False,unlabeled
body,,2,3264,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,3023,True,unlabeled
div,container,4,3023,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,3004,True,unlabeled
div,header-content,6,54,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,33,False,unlabeled
h1,title-detail,6,31,False,title
p,description,6,127,False,unlabeled
article,fck_detail,6,2736,True,unlabeled
p,Normal,7,309,False,content
a,,8,11,False,unlabeled
p,Normal,7,266,False,content
p,Normal,7,163,False,content
p,Normal,7,214,False,content
p,Normal,7,170,False,content
p,Normal,7,316,False,content
p,Normal,7,242,False,content
figure,tplCaption,7,95,True,unlabeled
figcaption,,8,95,False,unlabeled
p,Image,9,95,False,unlabeled
p,Normal,7,512,False,content
p,Normal,7,442,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,4265,True,unlabeled
head,,2,47,False,unlabeled
title,,3,47,False,unlabeled
body,,2,4218,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,3977,True,unlabeled
div,container,4,3977,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,3958,False,unlabeled
div,header-content,6,53,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,32,False,unlabeled
h1,title-detail,6,25,False,title
p,description,6,138,False,unlabeled
article,fck_detail,6,3686,False,unlabeled
p,Normal,7,302,False,content
a,,8,11,False,unlabeled
p,Normal,7,196,False,content
p,Normal,7,170,False,content
p,Normal,7,210,False,content
p,Normal,7,322,False,content
p,Normal,7,282,False,content
p,Normal,7,268,False,content
p,Normal,7,193,False,content
p,Normal,7,202,False,content
p,Normal,7,215,False,content
p,Normal,7,455,False,content
a,,8,13,False,unlabeled
p,Normal,7,241,False,content
p,Normal,7,462,False,content
p,Normal,7,161,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,3152,True,unlabeled
head,,2,56,False,unlabeled
title,,3,56,False,unlabeled
body,,2,3096,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2855,True,unlabeled
div,container,4,2855,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2836,True,unlabeled
div,header-content,6,53,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,32,False,unlabeled
h1,title-detail,6,31,False,title
p,description,6,142,False,unlabeled
article,fck_detail,6,2554,True,unlabeled
p,Normal,7,325,False,content
p,Normal,7,234,False,content
p,Normal,7,153,False,content
p,Normal,7,198,False,content
a,,8,11,False,unlabeled
figure,tplCaption,7,84,True,unlabeled
figcaption,,8,84,False,unlabeled
p,Image,9,84,False,unlabeled
p,Normal,7,393,False,content
p,Normal,7,145,False,content
p,Normal,7,263,False,content
p,Normal,7,388,False,content
p,Normal,7,364,False,content
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,2828,True,unlabeled
head,,2,62,False,unlabeled
title,,3,62,False,unlabeled
body,,2,2766,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2525,True,unlabeled
div,container,4,2525,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2506,False,unlabeled
div,header-content,6,54,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,33,False,unlabeled
h1,title-detail,6,35,False,title
p,description,6,116,False,unlabeled
article,fck_detail,6,2245,False,unlabeled
p,Normal,7,191,False,content
p,Normal,7,295,False,content
p,Normal,7,346,False,content
p,Normal,7,287,False,content
p,Normal,7,147,False,content
p,Normal,7,219,False,content
p,Normal,7,316,False,content
p,Normal,7,239,False,content
p,Normal,7,194,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,3349,True,unlabeled
head,,2,67,False,unlabeled
title,,3,67,False,unlabeled
body,,2,3282,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,3041,True,unlabeled
div,container,4,3041,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,3022,False,unlabeled
div,header-content,6,52,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,31,False,unlabeled
h1,title-detail,6,40,False,title
p,description,6,114,False,unlabeled
article,fck_detail,6,2760,False,unlabeled
p,Normal,7,347,False,content
p,Normal,7,269,False,content
p,Normal,7,230,False,content
p,Normal,7,284,False,content
p,Normal,7,174,False,content
p,Normal,7,90,False,content
p,Normal,7,324,False,content
p,Normal,7,141,False,content
p,Normal,7,229,False,content
p,Normal,7,217,False,content
p,Normal,7,138,False,content
p,Normal,7,306,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,4822,True,unlabeled
head,,2,65,False,unlabeled
title,,3,65,False,unlabeled
body,,2,4757,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,4516,True,unlabeled
div,container,4,4516,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,4497,True,unlabeled
div,header-content,6,54,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,33,False,unlabeled
h1,title-detail,6,38,False,title
p,description,6,152,False,unlabeled
article,fck_detail,6,4197,True,unlabeled
p,Normal,7,125,False,content
p,Normal,7,378,False,content
figure,tplCaption,7,83,True,unlabeled
figcaption,,8,83,False,unlabeled
p,Image,9,83,False,unlabeled
p,Normal,7,214,False,content
p,Normal,7,130,False,content
p,Normal,7,258,False,content
p,Normal,7,185,False,content
p,Normal,7,211,False,content
p,Normal,7,350,False,content
p,Normal,7,244,False,content
p,Normal,7,154,False,content
p,Normal,7,385,False,content
p,Normal,7,226,False,content
p,Normal,7,266,False,content
p,Normal,7,241,False,content
p,Normal,7,357,False,content
p,Normal,7,379,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,3086,True,unlabeled
head,,2,62,False,unlabeled
title,,3,62,False,unlabeled
body,,2,3024,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,2783,True,unlabeled
div,container,4,2783,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,2764,False,unlabeled
div,header-content,6,53,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,32,False,unlabeled
h1,title-detail,6,35,False,title
p,description,6,146,False,unlabeled
article,fck_detail,6,2474,False,unlabeled
p,Normal,7,356,False,content
p,Normal,7,319,False,content
p,Normal,7,276,False,content
p,Normal,7,226,False,content
p,Normal,7,161,False,content
p,Normal,7,176,False,content
p,Normal,7,298,False,content
p,Normal,7,345,False,content
p,Normal,7,306,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,4815,True,unlabeled
head,,2,82,False,unlabeled
title,,3,82,False,unlabeled
body,,2,4733,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
span,time-now,5,16,False,unlabeled
a,,6,16,False,unlabeled
div,right,5,57,True,unlabeled
div,news-area,6,36,False,unlabeled
span,txt-area,7,16,False,unlabeled
ul,sub-area,7,20,False,unlabeled
li,,8,14,False,unlabeled
a,,9,14,False,unlabeled
a,evne,6,13,False,unlabeled
section,section,3,168,False,unlabeled
nav,main-nav,4,168,False,unlabeled
ul,parent,5,168,False,unlabeled
li,kinhdoanh,6,10,False,unlabeled
a,,7,10,False,unlabeled
li,khoahoccongnghe,6,18,False,unlabeled
a,,7,18,False,unlabeled
li,batdongsan,6,12,False,unlabeled
a,,7,12,False,unlabeled
section,section,3,4492,True,unlabeled
div,container,4,4492,True,unlabeled
div,social_pin,5,18,False,unlabeled
ul,social_left,6,18,False,unlabeled
li,,7,18,False,unlabeled
a,social_back,8,18,False,unlabeled
span,tip,9,18,False,unlabeled
div,sidebar-1,5,4473,True,unlabeled
div,header-content,6,52,False,unlabeled
ul,breadcrumb,7,21,False,unlabeled
li,,8,10,False,unlabeled
a,,9,10,False,unlabeled
li,,8,11,False,unlabeled
a,,9,11,False,unlabeled
span,date,7,31,False,unlabeled
h1,title-detail,6,55,False,title
p,description,6,162,False,unlabeled
article,fck_detail,6,4148,True,unlabeled
p,Normal,7,283,False,content
p,Normal,7,152,False,content
p,Normal,7,159,False,content
p,Normal,7,173,False,content
p,Normal,7,366,False,content
figure,tplCaption,7,99,True,unlabeled
figcaption,,8,99,False,unlabeled
p,Image,9,99,False,unlabeled
p,Normal,7,327,False,content
p,Normal,7,1214,False,content
p,Normal,7,402,False,content
p,Normal,7,374,False,content
p,Normal,7,351,False,content
p,Normal,7,237,False,content
p,Normal,7,11,False,content
strong,,8,11,False,unlabeled
div,footer-content,6,56,False,unlabeled
a,save,7,36,False,unlabeled
span,tip,8,18,False,unlabeled
div,social,7,20,False,unlabeled
a,share-link,8,20,False,unlabeled
span,tip,9,20,False,unlabeled
html,,1,4017,True,unlabeled
head,,2,66,False,unlabeled
title,,3,66,False,unlabeled
body,,2,3951,True,unlabeled
header,section,3,73,True,unlabeled
div,container,4,73,True,unlabeled
